Ticker,Company,Sector,Industry,Country,Market Cap,Price,Change,Volume
ADEA,Adeia Inc,Technology,Software - Application,USA,1.27B,12.18,-1.30%,"208,158"
AEON,AEON Biopharma Inc.,Healthcare,Biotechnology,USA,39.52M,1.00,2.02%,"84,956"
AGO,Assured Guaranty Ltd,Financial,Insurance - Specialty,Bermuda,4.43B,84.13,-0.64%,"223,353"
ALEC,Alector Inc,Healthcare,Biotechnology,USA,454.48M,4.67,-0.64%,"210,284"
AMBA,Ambarella Inc,Technology,Semiconductor Equipment & Materials,USA,2.39B,57.88,0.94%,"374,382"
AMIX,Autonomix Medical Inc.,Healthcare,Medical Devices,USA,11.37M,0.49,-6.91%,"649,413"
AMTD,AMTD IDEA Group ADR,Financial,Asset Management,France,53.81M,1.33,-1.48%,"22,608"
ARCH,Arch Resources Inc,Basic Materials,Coking Coal,USA,2.54B,140.29,-1.06%,"363,357"
ASG,Liberty All-Star Growth Fund Inc,Financial,Closed-End Fund - Equity,USA,335.67M,5.58,-1.59%,"236,348"
ATGL,Alpha Technology Group Ltd,Technology,Software - Infrastructure,Hong Kong,96.60M,6.33,0.80%,"17,966"
AZTD,Aztlan Global Stock Selection DM SMID ETF,Financial,Exchange Traded Fund,USA,-,23.23,-1.46%,1
BCTX,BriaCell Therapeutics Corp,Healthcare,Biotechnology,Canada,32.97M,0.92,5.48%,"1,950,218"
BGS,"B&G Foods, Inc",Consumer Defensive,Packaged Foods,USA,646.74M,8.17,-0.37%,"510,860"
BMRA,Biomerica Inc.,Healthcare,Medical Devices,USA,5.16M,0.31,-4.95%,"70,003"
BRF,VanEck Brazil Small-Cap ETF,Financial,Exchange Traded Fund,USA,-,13.97,0.07%,"3,150"
BWEN,Broadwind Inc,Industrials,Specialty Industrial Machinery,USA,44.97M,2.05,-3.54%,"165,978"
BWX,SPDR Bloomberg International Treasury Bond ETF,Financial,Exchange Traded Fund,USA,-,22.19,-0.45%,"80,127"
BXMX,Nuveen S&P 500 Buy-Write Income Fund,Financial,Closed-End Fund - Equity,USA,1.43B,13.70,-0.80%,"100,196"
CAN,Canaan Inc ADR,Technology,Computer Hardware,Singapore,265.61M,0.97,-3.93%,"5,432,341"
CHCT,Community Healthcare Trust Inc,Real Estate,REIT - Healthcare Facilities,USA,475.06M,16.93,-1.11%,"226,172"
